node_1,node_2,edge,chunk_id
nike air jordan 4s,authenticity,are,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,counterfeits,differ from,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,style number,have,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,upc code,have,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,box,come in,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s box,info,have printed on,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s box,label,have on one end,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s label,size,list,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s label,style number,list,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s label,upc code,match,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,color,have vibrantly-colored,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,logos,have on the tongue and heel,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s logos,edges,are embossed with raised,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s logos,colors,"have full, solid",4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,stitching,"have neat, even",4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s,material,have high-quality leather and suede,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s soles,stitching,have around,4adce4221f564101a28456f7d2cd63a7
nike air jordan 4s soles,mesh panels,"have neat, even stitching around",4adce4221f564101a28456f7d2cd63a7
counterfeit nike air jordan 4s,box,have small creased,4adce4221f564101a28456f7d2cd63a7
counterfeit nike air jordan 4s,box,have low-quality printing or design,4adce4221f564101a28456f7d2cd63a7
counterfeit nike air jordan 4s,box label,have mismatched or incomplete information on,4adce4221f564101a28456f7d2cd63a7
jordan shoes,9-digit style number,have,0dec1fc5d2b94a18b016c47f6242e49d
jordan shoes,upc,have,0dec1fc5d2b94a18b016c47f6242e49d
information label,jordan 4s, Inside of,0dec1fc5d2b94a18b016c47f6242e49d
information label,style number,contains,0dec1fc5d2b94a18b016c47f6242e49d
information label,upc,contains,0dec1fc5d2b94a18b016c47f6242e49d
counterfeit jordans,mismatching style numbers or upc codes,red flag,0dec1fc5d2b94a18b016c47f6242e49d
counterfeit jordans,misspellings,red flag,0dec1fc5d2b94a18b016c47f6242e49d
counterfeit jordans,bold fonts,red flag,0dec1fc5d2b94a18b016c47f6242e49d
counterfeit jordans,tightly packed lettering,red flag,0dec1fc5d2b94a18b016c47f6242e49d
label,fabrique,should contain,0dec1fc5d2b94a18b016c47f6242e49d
label,q with tail inside circle,good sign for authenticity,0dec1fc5d2b94a18b016c47f6242e49d
real jordans,"bright, solid colors",have,0dec1fc5d2b94a18b016c47f6242e49d
real jordans,high-quality suede and leather,have,0dec1fc5d2b94a18b016c47f6242e49d
real jordans,consistent and vibrant colors,have,0dec1fc5d2b94a18b016c47f6242e49d
counterfeit jordans,muted or darker colors,red flag,0dec1fc5d2b94a18b016c47f6242e49d
counterfeit jordans,discoloration,red flag,0dec1fc5d2b94a18b016c47f6242e49d
counterfeit jordans,nappier suede or lower-quality leather,red flag,0dec1fc5d2b94a18b016c47f6242e49d
real jordans,"consistent, evenly spaced stitching",have,0dec1fc5d2b94a18b016c47f6242e49d
jordan 4s,stitching around midsole and heel,have,0dec1fc5d2b94a18b016c47f6242e49d
jordan 4s,stitching underneath triangular accent,have,0dec1fc5d2b94a18b016c47f6242e49d
real jordans,thin stitch lines,have,0dec1fc5d2b94a18b016c47f6242e49d
real jordans,consistent space between stitch lines,have,0dec1fc5d2b94a18b016c47f6242e49d
jordan 4s,stitch lines,have,d01a47f34bb64108aaf6c7718d22e0a9
stitch lines,thin,are,d01a47f34bb64108aaf6c7718d22e0a9
stitch lines,consistent space between them,maintain,d01a47f34bb64108aaf6c7718d22e0a9
counterfeit jordan 4s,stitching,large and noticeable,d01a47f34bb64108aaf6c7718d22e0a9
counterfeit stitching,waver or widen apart,stitching lines,d01a47f34bb64108aaf6c7718d22e0a9
jordan 4 black cats,stitching,blend in with the materials on authentic pairs,d01a47f34bb64108aaf6c7718d22e0a9
counterfeit jordan 4 black cats,stitching,stand out against the fabric,d01a47f34bb64108aaf6c7718d22e0a9
real jordans,toe box,"curved, rounded shapes near the toe",d01a47f34bb64108aaf6c7718d22e0a9
jordan 4 sneakers,toe box,cushioned and rounded,d01a47f34bb64108aaf6c7718d22e0a9
counterfeit jordans,toe shape,squared-off or flattened,d01a47f34bb64108aaf6c7718d22e0a9
real jordans,tongue,rounded corners and clear logo on the front,d01a47f34bb64108aaf6c7718d22e0a9
jordan 4s,tongue,thick with Jumpman logo printed on the front,d01a47f34bb64108aaf6c7718d22e0a9
authentic jordans,jumpman logo,"bright, embossed with a clean edge",d01a47f34bb64108aaf6c7718d22e0a9
authentic jordans,tongue corners,rounded,d01a47f34bb64108aaf6c7718d22e0a9
counterfeit jordans,tongue stitching,thick,d01a47f34bb64108aaf6c7718d22e0a9
counterfeit jordans,interior fabric,visible along the edges,d01a47f34bb64108aaf6c7718d22e0a9
counterfeit jordans,jumpman logo,low-quality or misshapen,d01a47f34bb64108aaf6c7718d22e0a9
real jordans,air jordan label,"upside-down logo with thick, chunky text",d01a47f34bb64108aaf6c7718d22e0a9
air jordan label,text,appears upside-down in thick block,d01a47f34bb64108aaf6c7718d22e0a9
jordan shoes,clear printing,have,40a2c84c2f444587af3353a968c3db24
jordan shoes,even stitching,have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,hard-to-read text,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,right side-up label,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,loose edges or corners from poor stitching,may have,40a2c84c2f444587af3353a968c3db24
jordan 4s,mesh panels,have,40a2c84c2f444587af3353a968c3db24
real jordans,consistent patterning,have,40a2c84c2f444587af3353a968c3db24
real jordans,small square pattern,have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,mesh that runs perpendicular to the tops of the shoes,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,loose mesh,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,low-quality stitching,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,inconsistent mesh panel sizes,may have,40a2c84c2f444587af3353a968c3db24
real jordans,"bright, embossed logo",have,40a2c84c2f444587af3353a968c3db24
real jordans,clean raised edges,have,40a2c84c2f444587af3353a968c3db24
real jordans,logo fits the heel perfectly,have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,dull logo,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,logo too large or too small,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,sloppy or loose edges,may have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,flat heel shape in profile,may have,40a2c84c2f444587af3353a968c3db24
real shoes,signature curved bump,have,40a2c84c2f444587af3353a968c3db24
counterfeit jordans,unevenly spaced raised bumps,may have,40a2c84c2f444587af3353a968c3db24
real jordans,vibrant logo,have,40a2c84c2f444587af3353a968c3db24
real jordans,tight lettering,have,40a2c84c2f444587af3353a968c3db24
real jordans,consistent coloring,have,40a2c84c2f444587af3353a968c3db24
nike swoosh logo,consistent coloring,printed by the heel,ebcc41089f1d48acaa3d4a5de5f13a31
nike swoosh logo,letters of 'nike',connected to the bottom of the E,ebcc41089f1d48acaa3d4a5de5f13a31
letters of 'nike',tightly packed,describes the letters,ebcc41089f1d48acaa3d4a5de5f13a31
size sticker,full black coloring,describes the sticker,ebcc41089f1d48acaa3d4a5de5f13a31
counterfeit red flags,faded logos,one of the indicators,ebcc41089f1d48acaa3d4a5de5f13a31
counterfeit red flags,stickers without full black,one of the indicators,ebcc41089f1d48acaa3d4a5de5f13a31
counterfeit red flags,mismatching fonts,one of the indicators,ebcc41089f1d48acaa3d4a5de5f13a31
outsoles,deep treads,have on real Jordans,ebcc41089f1d48acaa3d4a5de5f13a31
outsoles,clean paint job,have on real Jordans,ebcc41089f1d48acaa3d4a5de5f13a31
counterfeit red flags,shallow treads,one of the indicators,ebcc41089f1d48acaa3d4a5de5f13a31
counterfeit red flags,visible paint drips,one of the indicators,ebcc41089f1d48acaa3d4a5de5f13a31
real jordans,price of $150 usd or more,typically sold at,ebcc41089f1d48acaa3d4a5de5f13a31
counterfeit red flags,jordans sold for under $100 usd,one of the indicators,ebcc41089f1d48acaa3d4a5de5f13a31
counterfeit red flags,prices that seem too good to be true,one of the indicators,ebcc41089f1d48acaa3d4a5de5f13a31
real and fake jordan 4s,differences not noticeable while wearing,describes the shoes,ebcc41089f1d48acaa3d4a5de5f13a31
purchasing shoes online,shop from verified sellers,recommended practice,ebcc41089f1d48acaa3d4a5de5f13a31
purchasing shoes online,clear pictures of the shoes,recommended practice,ebcc41089f1d48acaa3d4a5de5f13a31
air jordan 4s,various designs,describes the shoes,ebcc41089f1d48acaa3d4a5de5f13a31
pictures,shoes,depict,f734cb2fa60040ebb3818c399fbe74f4
shoes,air jordan 4s,type,f734cb2fa60040ebb3818c399fbe74f4
air jordan 4s,different colors,come_in,f734cb2fa60040ebb3818c399fbe74f4
air jordan 4s,different styles,come_in,f734cb2fa60040ebb3818c399fbe74f4
buyer,pictures,use_for_reference,f734cb2fa60040ebb3818c399fbe74f4
buyer,buying a pair,involved_in,f734cb2fa60040ebb3818c399fbe74f4
buyer,caution,should_err_on,f734cb2fa60040ebb3818c399fbe74f4
buyer,unsure,should_err_on,f734cb2fa60040ebb3818c399fbe74f4
