node_1,node_2,edge,chunk_id
nike air jordan 4s,authenticity,are,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s,style number,have,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s,upc code,have,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s,box,come in,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s box,info,printed on the label,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s box,label,have,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s label,size,list,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s label,style number,list,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s label,upc code,list,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s,color,have vibrantly-colored,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s,soles,"have neat, even stitching around",2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s,logos,have,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s logos,raised edges,are embossed with,2d56b10c6f5a4f9a91c2ddf919db1d16
nike air jordan 4s logos,colors,"have full, solid",2d56b10c6f5a4f9a91c2ddf919db1d16
counterfeit nike air jordan 4s,red flags,have,2d56b10c6f5a4f9a91c2ddf919db1d16
counterfeit nike air jordan 4s box,size,mismatched or incomplete information on the label,2d56b10c6f5a4f9a91c2ddf919db1d16
counterfeit nike air jordan 4s box,printing,low-quality,2d56b10c6f5a4f9a91c2ddf919db1d16
counterfeit nike air jordan 4s box,design,mismatched or incomplete information on the label,2d56b10c6f5a4f9a91c2ddf919db1d16
jordans,9-digit style number,have,33689332063f4c8c9fed333c8ad50155
jordans,upc,have,33689332063f4c8c9fed333c8ad50155
style number,match,UPC,33689332063f4c8c9fed333c8ad50155
jordans,information label,typically inside of,33689332063f4c8c9fed333c8ad50155
information label,text,contains,33689332063f4c8c9fed333c8ad50155
text,clear printing,should have,33689332063f4c8c9fed333c8ad50155
text,consistent fonts,should have,33689332063f4c8c9fed333c8ad50155
style number,compare,UPC code,33689332063f4c8c9fed333c8ad50155
jordans,authentic,if details match,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,mismatching style numbers or UPC codes,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,misspellings,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,bold fonts,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,tightly-packed lettering,33689332063f4c8c9fed333c8ad50155
jordans,fabrique,look for,33689332063f4c8c9fed333c8ad50155
q,circle,tail of the Q starts inside of,33689332063f4c8c9fed333c8ad50155
jordans,"bright, solid colors",have,33689332063f4c8c9fed333c8ad50155
jordans,high-quality suede,have,33689332063f4c8c9fed333c8ad50155
jordans,high-quality leather,have,33689332063f4c8c9fed333c8ad50155
jordans,consistent and vibrant colors,have,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,muted or darker colors,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,discoloration,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,nappier suede,33689332063f4c8c9fed333c8ad50155
jordans,counterfeit,lower-quality leather,33689332063f4c8c9fed333c8ad50155
jordan 4s,midsoles,may have different shade,33689332063f4c8c9fed333c8ad50155
jordan 4s,suede,may have different nap,33689332063f4c8c9fed333c8ad50155
jordan 4s,"consistent, evenly-spaced stitching",have,33689332063f4c8c9fed333c8ad50155
jordan 4s,stitching,around midsole and heel,33689332063f4c8c9fed333c8ad50155
jordan 4s,stitching,underneath triangular accent,33689332063f4c8c9fed333c8ad50155
jordan 4s,stitch lines,thin and maintain consistent space,33689332063f4c8c9fed333c8ad50155
counterfeit,large and noticeable stitching,red flag,fa02acabcf0d4008a495e0891e1c8ade
authentic jordans,blended stitching,feature,fa02acabcf0d4008a495e0891e1c8ade
counterfeit,squared or flattened toe shape,red flag,fa02acabcf0d4008a495e0891e1c8ade
real jordans,"curved, rounded shapes near the toe",feature,fa02acabcf0d4008a495e0891e1c8ade
counterfeit,thick stitching around the tongue,red flag,fa02acabcf0d4008a495e0891e1c8ade
real jordans,rounded corners and clear logo on the front,feature,fa02acabcf0d4008a495e0891e1c8ade
counterfeit,interior fabric visible along the edges,red flag,fa02acabcf0d4008a495e0891e1c8ade
real jordans,even stitching around the edges,feature,fa02acabcf0d4008a495e0891e1c8ade
counterfeit,low-quality or misshapen jumpman logo,red flag,fa02acabcf0d4008a495e0891e1c8ade
real jordans,bright and embossed logo with a clean edge,feature,fa02acabcf0d4008a495e0891e1c8ade
counterfeit,hard-to-read text,red flag,fa02acabcf0d4008a495e0891e1c8ade
real jordans,"upside-down logo with thick, chunky text",feature,fa02acabcf0d4008a495e0891e1c8ade
counterfeit,right side-up label,red flag,fa02acabcf0d4008a495e0891e1c8ade
real jordans,consistent patterning that follows the curve of the shoe,feature,fa02acabcf0d4008a495e0891e1c8ade
tongue,base,part_of,358bdc7a02634bfdbc1cfb457570686d
mesh,tongue,covering,358bdc7a02634bfdbc1cfb457570686d
square pattern,mesh,has_a,358bdc7a02634bfdbc1cfb457570686d
lines,mesh,run_parallel_to,358bdc7a02634bfdbc1cfb457570686d
counterfeit jordans,mesh,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
mesh,counterfeit jordans,has_red_flags,358bdc7a02634bfdbc1cfb457570686d
counterfeit jordans,loose mesh,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
